Common Name,Scientific Name,Family,Group,Description,Habitat,Conservation,iNat Observations,Taxon ID,Image 1,Image 2
bristle thistle,Cirsium horridulum,Asteraceae,Wildflowers & Herbs,"A densely hairy and spiny plant, yellow thistle is most commonly found near the coast, including on the upper edges of salt marshes. This plant is protected in several New England states.","Brackish or salt marshes and flats, meadows and fields",FL: S4S5 · NatureServe: G5 · US: N5,4,127269,images/Plants/Wildflowers & Herbs/bristle thistle_1.jpg,images/Plants/Wildflowers & Herbs/bristle thistle_2.jpg
Rust Weed,Polypremum procumbens,TETRACHONDRACEAE,Wildflowers & Herbs,"Polypremum is a flowering plant genus in the family Tetrachondraceae. The genus contains the single species Polypremum procumbens, commonly known as juniperleaf or rustweed. Polypremum has also been placed in the various families Buddlejaceae, Loganiaceae, Rubiaceae, and most recently in its own Polypremaceae.
Polypremum procumbens is a perennial or annual forb/herb, and grows low with sometimes multiple ascending stems producing small white flowers that bloom in summer and fall.  Leaves are opposite, 1–2.5 cm, narrow, and pointed at the end.",,,4,131588,images/Plants/Wildflowers & Herbs/Rust Weed_1.jpg,images/Plants/Wildflowers & Herbs/Rust Weed_2.jpg
Le Conte's Flatsedge,Cyperus lecontei,CYPERACEAE,Wildflowers & Herbs,"Cyperus lecontei, also known as Le Conte's flatsedge, is a species of flowering plant in the sedge family Cyperaceae. It is native to the southeastern United States where it is most common in the state of Florida. The species is named in honor of the American naturalist John Eatton Le Conte (1784–1860) who collected the type specimen in eastern Florida.",,,4,161456,images/Plants/Wildflowers & Herbs/Le Conte's Flatsedge_1.jpg,images/Plants/Wildflowers & Herbs/Le Conte's Flatsedge_2.jpg
Swamp titi,Cyrilla racemiflora,CYRILLACEAE,Wildflowers & Herbs,"Small-leaved forms have gone by the name C. parvifolia. According to Thomas (1960: 99-103), the two forms &quot;intergrade completely in certain local populations, and there is evidence of considerable gene exchange throughout the area of overlap&quot; (see also Godfrey &amp; Wooten 1981; FNA, vol. 8). Thomas (1960: 103-104) also did not find C. arida to be distinct morphologically or by habitat. See also: https://www.inaturalist.org/observations/19201688",,FL: S4S5 · IUCN Red List: LC · NatureServe: G5 · US: N5,4,161508,images/Plants/Wildflowers & Herbs/Swamp titi_1.jpg,images/Plants/Wildflowers & Herbs/Swamp titi_2.jpg
Wright's Plantain,Plantago wrightiana,PLANTAGINACEAE,Wildflowers & Herbs,"Plantago is a genus of about 200 species of flowering plants in the family Plantaginaceae, commonly called plantains or fleaworts. The common name plantain is shared with the unrelated cooking plantain. Most are herbaceous plants, though a few are subshrubs growing to 60 centimetres (24 inches) tall.",,,4,167013,images/Plants/Wildflowers & Herbs/Wright's Plantain_1.jpg,images/Plants/Wildflowers & Herbs/Wright's Plantain_2.jpg
Orange Azalea,Rhododendron austrinum,ERICACEAE,Wildflowers & Herbs,"Rhododendron austrinum is a species of flowering plant in the heath family known by the common names Florida flame azalea, honeysuckle azalea, southern yellow azalea, and orange azalea. It is native to the southern United States, where it can be found in Alabama, Florida, Georgia, and Mississippi. It is also a common ornamental plant.
This species is a shrub growing up to 10 feet tall and 8 wide. It has deciduous oval leaves 2 to 4 inches long.",,,4,167810,images/Plants/Wildflowers & Herbs/Orange Azalea_1.jpg,images/Plants/Wildflowers & Herbs/Orange Azalea_2.jpg
Carolina Yellow-eyed Grass,Xyris caroliniana,XYRIDACEAE,Wildflowers & Herbs,"Xyris caroliniana, the Carolina yelloweyed grass, is a North American species of flowering plant in the yellow-eyed-grass family. It is native to Cuba and to the coastal plain of the southern and eastern United States from eastern Texas to New Jersey.
Xyris caroliniana is a perennial herb up to 100 cm (40 inches) tall with narrow leaves up to 50 cm (20 inches) long, and yellow flowers.
Within the United States' Florida and Georgia, this species has been observed in habitat such as mesic sandy meadows, wiregrass-longleaf pinewoods, and slash pine woodlands.",,,4,170358,images/Plants/Wildflowers & Herbs/Carolina Yellow-eyed Grass_1.jpg,images/Plants/Wildflowers & Herbs/Carolina Yellow-eyed Grass_2.jpg
Creeping Cactus,Opuntia drummondii,CACTACEAE,Wildflowers & Herbs,"Although the name Opuntia pusilla has often been used for this species, its original description and neotype are ambiguous. Thus, the name O. drummondii is preferred for this species (Majure et al. 2017).",,IUCN Red List: LC,4,596540,images/Plants/Wildflowers & Herbs/Creeping Cactus_1.jpg,images/Plants/Wildflowers & Herbs/Creeping Cactus_2.jpg
Alamo vine,Distimake dissectus,CONVOLVULACEAE,Wildflowers & Herbs,"Austin (2007) considered this species native to Florida, partly based on observations of this species by W. Bartram (Harper 1958: 201, fig. 15) and A. Michaux (1803; Taylor &amp; Norman 2002: 77, 114) . This species is now placed in the genus Distimake, but was previously included in Merremia, a genus which has been redefined to include only ten species (Simões &amp; Staples 2017).",,,4,907480,images/Plants/Wildflowers & Herbs/Alamo vine_1.jpg,images/Plants/Wildflowers & Herbs/Alamo vine_2.jpg
Southern Water Violet,Viola vittata,Violaceae,Wildflowers & Herbs,"The viola ( vee-OH-lə, () Italian: [ˈvjɔːla, viˈɔːla]) is a string instrument of the violin family, and is usually bowed when played. The viola is slightly larger than the violin and has a lower sound. Since the 18th century, it has been the middle or alto voice of the violin family, between the violin (which is tuned a perfect fifth higher) and the cello (which is tuned an octave lower).",,NatureServe: G5T5?,4,1392343,images/Plants/Wildflowers & Herbs/Southern Water Violet_1.jpg,images/Plants/Wildflowers & Herbs/Southern Water Violet_2.jpg
clasping milkweed,Asclepias amplexicaulis,Apocynaceae,Wildflowers & Herbs,"Clasping milkweed is an uncommon milkweed that is protected in some New England States. It requires sandy fields and open woodland habitat. The name refers to the leaves, whose bases clasp the stem.","Grassland, meadows and fields, woodlands",FL: S3 · US: N5 · NatureServe: G5,3,47910,images/Plants/Wildflowers & Herbs/clasping milkweed_1.jpg,images/Plants/Wildflowers & Herbs/clasping milkweed_2.jpg
whitemouth dayflower,Commelina erecta,COMMELINACEAE,Wildflowers & Herbs,"Commelina erecta, commonly known as white mouth dayflower, slender dayflower, or widow's tears. C. erecta is a blue flower often recognized by its two large blue petals and smaller white petal. It is a perennial herb common across the world and native throughout the Americas, Africa and western Asia.",,IUCN Red List: LC,3,53478,images/Plants/Wildflowers & Herbs/whitemouth dayflower_1.jpg,images/Plants/Wildflowers & Herbs/whitemouth dayflower_2.jpg
Horned Bladderwort,Utricularia cornuta,Lentibulariaceae,Wildflowers & Herbs,"Horned bladderwort is a carnivorous plant that may be difficult to see when not in flower, because the stems and threadlike leaves are very inconspicuous. The leaves have small bladders on them that trap very small invertebrates. The bladder opens suddenly when trigger hairs are disturbed, sucking in the prey.","Bogs, fens, shores of rivers or lakes, swamps, wetland margins (edges of wetlands)",IUCN Red List: LC,3,62372,images/Plants/Wildflowers & Herbs/Horned Bladderwort_1.jpg,images/Plants/Wildflowers & Herbs/Horned Bladderwort_2.jpg
clasping Venus's looking glass,Triodanis perfoliata,Campanulaceae,Wildflowers & Herbs,"Clasping-leaved Venus -looking-glass probably gets its name from related European species that have larger seeds with shiny mirror-like surfaces. In this species, the seeds are quite small. The Cherokee used the root to treat dyspepsia from overeating.","Anthropogenic (human-disturbed or -maintained habitats), cliffs, balds, or ledges, forests, ridges or ledges, talus and rocky slopes",,3,64293,images/Plants/Wildflowers & Herbs/clasping Venus's looking glass_1.jpg,images/Plants/Wildflowers & Herbs/clasping Venus's looking glass_2.jpg
Camphorweed,Heterotheca subaxillaris,Asteraceae,Wildflowers & Herbs,"Camphor false golden-aster is a variable and weedy species, widely distributed across North America, but rarely found in New England. As its name suggests, the foliage has a camphor-like aroma, and cattle will not feed on it.","Anthropogenic (human-disturbed or -maintained habitats), meadows and fields",,3,77398,images/Plants/Wildflowers & Herbs/Camphorweed_1.jpg,images/Plants/Wildflowers & Herbs/Camphorweed_2.jpg
cutleaf evening primrose,Oenothera laciniata,Onagraceae,Wildflowers & Herbs,"Cut-leaved evening-primrose is native to eastern North America, but has become an invasive species in Central and South America, Europe, Africa and Australia. It is also considered non-native where it occurs in New England.","Anthropogenic (human-disturbed or -maintained habitats), meadows and fields",,3,78243,images/Plants/Wildflowers & Herbs/cutleaf evening primrose_1.jpg,images/Plants/Wildflowers & Herbs/cutleaf evening primrose_2.jpg
ballmoss,Tillandsia recurvata,BROMELIACEAE,Wildflowers & Herbs,"Tillandsia recurvata, commonly known as small ballmoss or ball moss, is a flowering plant (not a true moss) in the family Bromeliaceae that grows upon larger host plants. It grows well in areas with low light, little airflow, and high humidity, which is commonly provided by southern shade trees, often the southern live oak (Quercus virginiana). It is not a parasite like mistletoe, but an epiphyte like its relative Spanish moss.
Tillandsia recurvata derives mainly physical support and not nutrition from its host; it photosynthesizes its own food, absorbing water that collects on its leaves. It obtains nitrogen from bacteria, and other minerals largely from blown dust.",,,3,84002,images/Plants/Wildflowers & Herbs/ballmoss_1.jpg,images/Plants/Wildflowers & Herbs/ballmoss_2.jpg
fringed star grass,Hypoxis juncea,HYPOXIDACEAE,Wildflowers & Herbs,"Hypoxis juncea (commonly known as fringed yellow star-grass and rushy hypoxis) is a star-grass species with leaves that are so narrow as to be comparable to thread. It is not a true grass, despite the common name. It is found in the United States on coastal plains from Florida + Alabama to North Carolina. The species is a facultative wetland perennial forb.",,,3,126632,images/Plants/Wildflowers & Herbs/fringed star grass_1.jpg,images/Plants/Wildflowers & Herbs/fringed star grass_2.jpg
Hastate-leaved dock,Rumex hastatulus,Polygonaceae,Wildflowers & Herbs,"While Rumex hastatulus is native to North America, it is introduced to the coastal region in New England.",Coastal beaches (sea beaches),,3,127278,images/Plants/Wildflowers & Herbs/Hastate-leaved dock_1.jpg,images/Plants/Wildflowers & Herbs/Hastate-leaved dock_2.jpg
partridge pea,Chamaecrista fasciculata,Fabaceae,Wildflowers & Herbs,"The leaflets of partridge sensitive-pea is called sensitive because the leaves fold together when touched with a finger. This species is native to southern New England, and introduced in Maine and New Hampshire.","Anthropogenic (human-disturbed or -maintained habitats), grassland, meadows and fields",,3,127907,images/Plants/Wildflowers & Herbs/partridge pea_1.jpg,images/Plants/Wildflowers & Herbs/partridge pea_2.jpg
rattlesnake master,Eryngium yuccifolium,Apiaceae,Wildflowers & Herbs,"Button eryngo is native to North America, but not to New England, where it has naturalized in southwestern Connecticut (within New England). This plant is sometimes grown as a garden ornamental, for its rather strange appearance. It was valued as an important medicinal herb by Native Americans, who used it to treat a wide range of diseases.","Anthropogenic (human-disturbed or -maintained habitats), meadows and fields",,3,128695,images/Plants/Wildflowers & Herbs/rattlesnake master_1.jpg,images/Plants/Wildflowers & Herbs/rattlesnake master_2.jpg
Grass-leaved Ladies' Tresses,Spiranthes praecox,ORCHIDACEAE,Wildflowers & Herbs,"Recent work shows S. sylvatica is within the S. praecox lineage (Dueck et al. 2014; Pace 2015; Pace &amp; Cameron 2016), suggesting it is an ecotype or could perhaps be treated as a subspecies (Pace 2015).",,,3,128771,images/Plants/Wildflowers & Herbs/Grass-leaved Ladies' Tresses_1.jpg,images/Plants/Wildflowers & Herbs/Grass-leaved Ladies' Tresses_2.jpg
Saltmarsh mallow,Kosteletzkya pentacarpos,MALVACEAE,Wildflowers & Herbs,"Populations in the Americas had been called K. virginica. Now the name K. pentacarpos is used since the American populations seem morphologically indistinguishable from the Eurasian populations (Blanchard 2008). Plants with narrower leaves (&lt; 20 mm wide) with margins entire at the proximal half of the blade and reflexed lobes have been recognized as var. smilacifolia and endemic to peninsular Florida (Alexander et al. 2012), e.g. Jensen OS0563 (USF).",,IUCN Red List: LC,3,131656,images/Plants/Wildflowers & Herbs/Saltmarsh mallow_1.jpg,images/Plants/Wildflowers & Herbs/Saltmarsh mallow_2.jpg
Aloe Yucca,Yucca aloifolia,AGAVACEAE,Wildflowers & Herbs,"Yucca aloifolia is the type species for the genus Yucca. Common names include aloe yucca, dagger plant, and  Spanish bayonet. It grows in sandy soils, especially on sand dunes along the coast.",,FL: S3S4 · IUCN Red List: DD · NatureServe: G5 · US: N5,3,133334,images/Plants/Wildflowers & Herbs/Aloe Yucca_1.jpg,images/Plants/Wildflowers & Herbs/Aloe Yucca_2.jpg
sandyfield beaksedge,Rhynchospora megalocarpa,CYPERACEAE,Wildflowers & Herbs,"Rhynchospora megalocarpa, commonly called sandyfield beaksedge, is a species of flowering plant in the sedge family (Cyperaceae). It is native to North America, where it is found in the southeastern United States.",,,3,143504,images/Plants/Wildflowers & Herbs/sandyfield beaksedge_1.jpg,images/Plants/Wildflowers & Herbs/sandyfield beaksedge_2.jpg
American Coinwort,Centella erecta,Apiaceae,Wildflowers & Herbs,"Centella erecta, or erect centella, is a member of the carrot family, Apiaceae. It is a perennial herb found throughout temperate regions of the Americas, from New Jersey to Chile.",,FL: S5 · NatureServe: G5 · US: N4N5,3,160295,images/Plants/Wildflowers & Herbs/American Coinwort_1.jpg,images/Plants/Wildflowers & Herbs/American Coinwort_2.jpg
ten-angled pipewort,Eriocaulon decangulare,ERIOCAULACEAE,Wildflowers & Herbs,"Eriocaulon decangulare, commonly known as ten-angled pipewort, hat pin and bog button, is a monocotyledonous plant native to the eastern United States, Mexico and Nicaragua. The plant's distribution is quite irregular, with several disjunct populations and a discontinuous primary range. Most of its habitat in the United States is found on the Atlantic Coastal Plain. It is found in areas of relatively low elevation and does not occur higher than 300 metres above sea level. This plant is found in peat and sand that is moist to wet, and is associated with savannahs, bogs, pinelands, ditches and the banks of cypress domes.",,,3,162557,images/Plants/Wildflowers & Herbs/ten-angled pipewort_1.jpg,images/Plants/Wildflowers & Herbs/ten-angled pipewort_2.jpg
thistleleaf aster,Eurybia eryngiifolia,ASTERACEAE,Wildflowers & Herbs,"Eurybia eryngiifolia, commonly known as the thistleleaf aster or coyote-thistle aster, is an herbaceous perennial in the family Asteraceae. It is native to the eastern United States where it is only present along the Florida panhandle and the nearby areas of southern Alabama and southwestern Georgia.",,,3,162880,images/Plants/Wildflowers & Herbs/thistleleaf aster_1.jpg,images/Plants/Wildflowers & Herbs/thistleleaf aster_2.jpg
Southern Umbrella-sedge,Fuirena scirpoidea,CYPERACEAE,Wildflowers & Herbs,"Fuirena longa (included here) is &quot;ostensibly a stable hybrid between F. breviseta and F. scirpoidea&quot; (FNA, vol. 23).",,FL: S5 · NatureServe: G5,3,163118,images/Plants/Wildflowers & Herbs/Southern Umbrella-sedge_1.jpg,images/Plants/Wildflowers & Herbs/Southern Umbrella-sedge_2.jpg
Woolly huckleberry,Gaylussacia mosieri,ERICACEAE,Wildflowers & Herbs,"Gaylussacia mosieri, the hirsute huckleberry or woolly huckleberry, is a plant species native to the coastal plains of the southeastern United States (Louisiana, Mississippi, Alabama, Georgia, Florida).
Gaylussacia mosieri is a shrub up to 150 cm (5 feet) tall, sometimes forming small colonies. Shoots are covered with reddish hairs. Flowers are in groups of 4–8, white, or pink. Fruits are black, sweet and juicy.",,FL: S3S4 · NatureServe: G4,3,163217,images/Plants/Wildflowers & Herbs/Woolly huckleberry_1.jpg,images/Plants/Wildflowers & Herbs/Woolly huckleberry_2.jpg
savanna sneezeweed,Helenium vernale,ASTERACEAE,Wildflowers & Herbs,"Helenium vernale is a North American species of flowering plant in the aster family known by the common name Savanna sneezeweed or spring sneezeweed. It is native to the southeastern United States, from Louisiana to the Carolinas.
Helenium vernale is a perennial herb up to 80 cm (31.5 in) tall, with small wings running down the sides of the stem. One plant generally produces only 1–3 hemispherical flower heads, each on its own flower stalk. Each head can contain up to 800 minuscule disc flowers, each 4.6–6.0 mm (0.18–0.24 in) across, yellow at the base, yellow or yellow-brown near the tips.",,,3,163593,images/Plants/Wildflowers & Herbs/savanna sneezeweed_1.jpg,images/Plants/Wildflowers & Herbs/savanna sneezeweed_2.jpg
needlegrass rush,Juncus roemerianus,JUNCACEAE,Wildflowers & Herbs,"Juncus roemerianus is a species of flowering plant in the rush family known by the common names needlegrass rush, black rush, needlerush, black needlerush and Roemer's rush.  It is native to North America, where its main distribution lies along the coastline of the southeastern United States, including the Gulf Coast. It occurs from New Jersey to Texas, with outlying populations in Connecticut, New York, Mexico, and certain Caribbean islands.",,,3,164279,images/Plants/Wildflowers & Herbs/needlegrass rush_1.jpg,images/Plants/Wildflowers & Herbs/needlegrass rush_2.jpg
Lady Lupine,Lupinus villosus,FABACEAE,Wildflowers & Herbs,"Lupinus villosus, commonly known as lady lupine, pink sandhill lupine, or hairy lupine, is a species of flowering plant in the family Fabaceae. It is endemic to the southeastern United States, where it occurs in sandy, fire-maintained habitats.",,,3,164933,images/Plants/Wildflowers & Herbs/Lady Lupine_1.jpg,images/Plants/Wildflowers & Herbs/Lady Lupine_2.jpg
Georgia bark,Pinckneya bracteata,RUBIACEAE,Wildflowers & Herbs,"Pinckneya is a genus of flowering plants belonging to the family Rubiaceae. Its only species is Pinckneya pubens, native to the Southeastern USA. It is known as the Georgia bark or fevertree. It is a small tree of the southern United States closely resembling the cinchona or Peruvian bark. It has pretty, large white flowers, with longitudinal stripes of rose-color. The wood is soft and unfit for use in the arts.",,IUCN Red List: LC,3,166882,images/Plants/Wildflowers & Herbs/Georgia bark_1.jpg,images/Plants/Wildflowers & Herbs/Georgia bark_2.jpg
West Indian meadowbeauty,Rhexia cubensis,MELASTOMATACEAE,Wildflowers & Herbs,"Rhexia is a genus of flowering plants in the family Melastomataceae. Rhexia species are commonly called ""meadow beauty"" and 11 to 13 species of Rhexia have been recognized depending on different taxonomic treatments.",,,3,167796,images/Plants/Wildflowers & Herbs/West Indian meadowbeauty_1.jpg,images/Plants/Wildflowers & Herbs/West Indian meadowbeauty_2.jpg
Shiny blueberry,Vaccinium myrsinites,ERICACEAE,Wildflowers & Herbs,"Vaccinium myrsinites is a species of flowering plant in the heath family known by the common name shiny blueberry. It is native to the southeastern United States from Alabama, Georgia, South Carolina and Florida. It may occur as far west as Louisiana.",,,3,170106,images/Plants/Wildflowers & Herbs/Shiny blueberry_1.jpg,images/Plants/Wildflowers & Herbs/Shiny blueberry_2.jpg
Chapman's Crownbeard,Verbesina chapmanii,ASTERACEAE,Wildflowers & Herbs,"Verbesina chapmanii, commonly known as Chapman's crownbeard, is a perennial species of flowering plant in the family Asteraceae. It is endemic to the Florida Panhandle. It typically grows up to 31 inches tall.",,FL: S3 · NatureServe: G3 · US: N3,3,170163,images/Plants/Wildflowers & Herbs/Chapman's Crownbeard_1.jpg,images/Plants/Wildflowers & Herbs/Chapman's Crownbeard_2.jpg
Florida Pricklypear,Opuntia austrina,CACTACEAE,Wildflowers & Herbs,"Opuntia austrina, also known as the Florida prickly pear (with other common names such as the devils-tongue and hammock prickly pear), is a prickly pear cactus species that is endemic to Florida in the United States.",,IUCN Red List: LC,3,441411,images/Plants/Wildflowers & Herbs/Florida Pricklypear_1.jpg,images/Plants/Wildflowers & Herbs/Florida Pricklypear_2.jpg
peelbark St. John's Wort,Hypericum fasciculatum,CLUSIACEAE,Wildflowers & Herbs,"Hypericum fasciculatum, known as peelbark St. Johnswort or sandweed, is a species of flowering plant in the St. Johnswort family, Hypericaceae, native to the southeastern United States. It is found from eastern North Carolina, south to southern Florida, west to eastern Louisiana. Kew's Plants of the World Online database also notes that it occurs in Cuba, though Cuba is not listed in several other sources.",,,3,635336,images/Plants/Wildflowers & Herbs/peelbark St. John's Wort_1.jpg,images/Plants/Wildflowers & Herbs/peelbark St. John's Wort_2.jpg
Southern Seaside Goldenrod,Solidago mexicana,Asteraceae,Wildflowers & Herbs,"Solidago, commonly called goldenrod, is a genus of about 100 to 120 species of flowering plants in the family Asteraceae. Most are herbaceous perennial species found in open areas such as meadows, prairies, and savannas. They are mostly native to North America, including Mexico; a few species are native to South America and Eurasia.",,,3,954006,images/Plants/Wildflowers & Herbs/Southern Seaside Goldenrod_1.jpg,images/Plants/Wildflowers & Herbs/Southern Seaside Goldenrod_2.jpg
Pink Milkwort,Senega incarnata,POLYGALACEAE,Wildflowers & Herbs,"Senega is a genus of flowering plants in the milkwort family (Polygalaceae) native to the Americas, tropical and southern Africa, and Madagascar. It was resurrected from the genus Polygala in 2023. The North American species Senega officinalis was introduced to Europe in the 1700s and was sold widely by pharmacists into the 1800s.",,FL: S3S4 · NatureServe: G5,3,1569114,images/Plants/Wildflowers & Herbs/Pink Milkwort_1.jpg,images/Plants/Wildflowers & Herbs/Pink Milkwort_2.jpg
purple passionflower,Passiflora incarnata,PASSIFLORACEAE,Wildflowers & Herbs,"Passiflora incarnata, commonly known as maypop, purple passionflower, true passionflower, wild apricot, and wild passion vine, is a fast-growing perennial vine with climbing or trailing stems. A member of the passionflower genus Passiflora, the maypop has large, intricate flowers with prominent styles and stamens. One of the hardiest species of passionflower, it is both found as a wildflower in the southern United States and in cultivation for its edible fruit and striking bluish purple blooms.",,NatureServe: G5 · US: N5,2,51453,images/Plants/Wildflowers & Herbs/purple passionflower_1.jpg,images/Plants/Wildflowers & Herbs/purple passionflower_2.jpg
common ragweed,Ambrosia artemisiifolia,Asteraceae,Wildflowers & Herbs,"Common ragweed is a native annual plant found throughout North America on roadsides, fields, cultivated ground and other disturbed sites. It has become invasive in much of the world including Central and South America, Europe, Asia, Australia, and Africa. Ragweed is a major cause of hay fever, an allergic reaction to its wind-borne pollen, in the late summer and fall. It is also a prolific producer of seeds that provide food for birds and small mammals. The plant was widely used by Native Americans as an herbal medicine, both externally and internally. Today, the pollen is harvested commercial","Anthropogenic (human-disturbed or -maintained habitats), meadows and fields",,2,53587,images/Plants/Wildflowers & Herbs/common ragweed_1.jpg,images/Plants/Wildflowers & Herbs/common ragweed_2.jpg
Beach Morning Glory,Ipomoea pes-caprae,CONVOLVULACEAE,Wildflowers & Herbs,"St. John (1970) treated this taxon at the species rank and characterized it as pantropical (absent from northern Indian Ocean) with leaf blades mostly longer than wide, unlobed or with lobe sinus less than 1/5 the length of the blade, lobes ascending, outer sepals 5-13 mm long, and cymes 1-20 flowered. Ipomoea pes-caprae subsp. pes-caprae is restricted to the northern Indian Ocean and has leaf blades wider than long, the lobe sinus 1/3-1/5 of the length of the blade, lobes divergent, outer sepals 7-12 mm long, and cymes 1-2 flowered. The two taxa apparently do not hybridize, or perhaps only rarely (Miryeganeh et al. 2014). Others chose to treat I. brasiliensis as a synonym of I. pes-caprae (Flora of China, vol. 16; Wood et al. 2020). This species apparently accumulates a relatively low amo",,US: N3?,2,60879,images/Plants/Wildflowers & Herbs/Beach Morning Glory_1.jpg,images/Plants/Wildflowers & Herbs/Beach Morning Glory_2.jpg
black mangrove,Avicennia germinans,ACANTHACEAE,Wildflowers & Herbs,"Although often allied historically with Verbenaceae, molecular and morphological data support including Avicennia in the Acanthaceae (Schwarzbach &amp; McDade 2002).",,IUCN Red List: LC,2,62853,images/Plants/Wildflowers & Herbs/black mangrove_1.jpg,images/Plants/Wildflowers & Herbs/black mangrove_2.jpg
American germander,Teucrium canadense,Lamiaceae,Wildflowers & Herbs,"The large, concave lower petal lobe of American germander make it easy to identify when in flower.","Brackish or salt marshes and flats, coastal beaches (sea beaches), floodplain (river or stream floodplains), marshes, shores of rivers or lakes, wetland margins (edges of wetlands)",,2,64547,images/Plants/Wildflowers & Herbs/American germander_1.jpg,images/Plants/Wildflowers & Herbs/American germander_2.jpg
Herb-of-Grace,Bacopa monnieri,PLANTAGINACEAE,Wildflowers & Herbs,"Bacopa monnieri, also known as water hyssop, brahmi, thyme-leafed gratiola, herb of grace, and Indian pennywort, is a perennial, creeping herb native to wetland areas globally. 
It is used in Ayurveda. In 2019, the US Food and Drug Administration (FDA) warned manufacturers of dietary supplement products containing Bacopa monnieri against making illegal and unproven claims that the herb can treat various diseases. There is inconclusive evidence of it improving cognitive performance and memory, and its safety and effectiveness remain uncertain.",,IUCN Red List: LC,2,75732,images/Plants/Wildflowers & Herbs/Herb-of-Grace_1.jpg,images/Plants/Wildflowers & Herbs/Herb-of-Grace_2.jpg
Turtle Grass,Thalassia testudinum,HYDROCHARITACEAE,Wildflowers & Herbs,"Thalassia testudinum, commonly known as turtlegrass, is a species of marine seagrass in the family Hydrocharitaceae. It forms meadows in shallow, sandy water in locations in the Caribbean Sea and the Gulf of Mexico. Turtle grass and other seagrasses form meadows which are important habitats and feeding grounds. The grass is eaten by turtles and herbivorous fish, supports many epiphytes, and provides habitat for juvenile fish and many invertebrate taxa.",,IUCN Red List: LC · NatureServe: G4G5,2,118509,images/Plants/Wildflowers & Herbs/Turtle Grass_1.jpg,images/Plants/Wildflowers & Herbs/Turtle Grass_2.jpg
Darrow's Blueberry,Vaccinium darrowii,ERICACEAE,Wildflowers & Herbs,This species has been hybridized with highbush blueberry to produce cultivars for production of blueberries (Chavez &amp; Lyrene 2009).,,,2,126142,images/Plants/Wildflowers & Herbs/Darrow's Blueberry_1.jpg,images/Plants/Wildflowers & Herbs/Darrow's Blueberry_2.jpg
herbwilliam,Ptilimnium capillaceum,Apiaceae,Wildflowers & Herbs,"Atlantic mock bishop-weed is native to southern and eastern North America, including Connecticut, Massachusetts and Rhode Island. It is found in salt marshes and brackish marshes. This plant is listed as one host species of the caterpillars of Black Swallowtail (Papilio polyxenes).","Brackish or salt marshes and flats, intertidal, subtidal or open ocean",,2,128655,images/Plants/Wildflowers & Herbs/herbwilliam_1.jpg,images/Plants/Wildflowers & Herbs/herbwilliam_2.jpg
Carolina desert-chicory,Pyrrhopappus carolinianus,ASTERACEAE,Wildflowers & Herbs,"Pyrrhopappus carolinianus, commonly called Carolina desert-chicory or Texas dandelion, is in the genus Pyrrhopappus of the family Asteraceae, native throughout Eastern and South Eastern United States. It is an annual found in mostly open grasslands and wet roadsides. P. carolinianus can bloom from spring to frost with the heads facing the sun throughout the day.
P. carolinianus  has been observed growing in habitats such as the edges of marshes, sandpine-oak woodlands, and savannas.",,,2,128733,images/Plants/Wildflowers & Herbs/Carolina desert-chicory_1.jpg,images/Plants/Wildflowers & Herbs/Carolina desert-chicory_2.jpg
Dune Marsh-elder,Iva imbricata,ASTERACEAE,Wildflowers & Herbs,"Iva imbricata is a North American species of flowering plant in the family Asteraceae known by the common names dune marsh-elder and seacoast marsh elder. It is native to Cuba, the Bahamas, and coastal areas of the United States from Texas to Virginia. It is a low shrub, found on sand dunes and the upper beach. It is highly salt tolerant, often situated as the most seaward perennial plant. It is commonly planted along southeastern beaches.",,FL: S5 · NatureServe: G5 · US: N5,2,130217,images/Plants/Wildflowers & Herbs/Dune Marsh-elder_1.jpg,images/Plants/Wildflowers & Herbs/Dune Marsh-elder_2.jpg
Saltmarsh Morning-glory,Ipomoea sagittata,CONVOLVULACEAE,Wildflowers & Herbs,"Ipomoea sagittata, commonly called the saltmarsh morning glory, is a species of flowering plant in the morning glory family. It is native to the Caribbean, Mexico, and the Southeastern United States where it is found in coastal areas. It has been  introduced in the Mediterranean Basin at least since the 17th century as a result of seeds transported in ship ballast soil, the ornamental trade or its uses in medicine. This species can be found in the wild in thickets on barrier islands, the edges of salt marshes, and in hammocks.",,,2,131555,images/Plants/Vines/Saltmarsh Morning-glory_1.jpg,images/Plants/Vines/Saltmarsh Morning-glory_2.jpg
Seabeach Evening-primrose,Oenothera humifusa,ONAGRACEAE,Wildflowers & Herbs,"Oenothera humifusa, the seabeach evening primrose or spreading evening primrose, is a species of flowering plant in the family Onagraceae. It is native to the beaches of Bermuda and the eastern United States from Louisiana to New Jersey, and it has been introduced to Cuba. It is a decumbent perennial.",,,2,133290,images/Plants/Wildflowers & Herbs/Seabeach Evening-primrose_1.jpg,images/Plants/Wildflowers & Herbs/Seabeach Evening-primrose_2.jpg
